"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.144035365E0,6.747424603E-3,1.090006530E-2,2.384757996E-2,2.707482654E-2
1.148765053E0,-5.362480879E-3,-1.755078509E-2,-1.670742035E-2,2.481781927E-2
1.153494792E0,-1.268014312E-2,-1.962044090E-2,-1.418876648E-2,2.733255979E-2
1.158224480E0,-7.952213287E-3,-1.231789216E-2,-1.406669617E-2,2.031846708E-2
1.162954219E0,1.824599504E-2,-1.231256314E-2,2.878475189E-2,3.623641108E-2
1.167683907E0,6.154119968E-3,1.994566992E-3,6.653404236E-2,6.684781434E-2
1.172413647E0,1.318484545E-2,6.712835282E-3,6.598091125E-2,6.761939779E-2
1.177143334E0,1.077443361E-2,4.268571734E-3,4.168796539E-2,4.326887545E-2
1.181873074E0,-5.946546793E-3,-7.592651993E-3,1.285171509E-2,1.606786743E-2
1.186602761E0,-1.546257734E-2,2.011533827E-3,-1.499176025E-3,1.566477243E-2
1.191332501E0,-2.012254298E-2,-2.647916414E-2,-3.947257996E-2,5.161537986E-2
1.196062240E0,-3.376245499E-3,-3.576850891E-2,-1.302623749E-2,3.821607157E-2
1.200791928E0,-2.003614604E-2,1.194291189E-2,5.830764771E-2,6.280017575E-2
1.205521667E0,1.338532567E-2,7.053961977E-3,3.645610809E-2,3.947116847E-2
1.210251355E0,2.753511071E-2,1.888175867E-2,3.615093231E-2,4.920968441E-2
1.214981094E0,5.897760391E-3,2.114288509E-2,1.448249817E-2,2.629729873E-2
1.219710782E0,5.865126848E-3,-3.570765257E-4,-3.074836731E-2,3.130478093E-2
1.224440522E0,-1.075795293E-2,-1.927370578E-2,-2.574539185E-2,3.391215840E-2
1.229170209E0,-3.586381674E-3,-2.144291438E-2,-3.739929199E-2,4.325930827E-2
1.233899949E0,-3.653913736E-3,-9.378410876E-3,-1.473426819E-3,1.017234795E-2
1.238629636E0,2.013444901E-2,7.277650759E-3,2.702808380E-2,3.448010370E-2
1.243359376E0,1.048651338E-2,4.830207676E-3,3.392505646E-2,3.583583855E-2
1.248089063E0,-3.829240799E-3,7.207661867E-3,5.152702332E-3,9.652140488E-3
1.252818803E0,-8.500695229E-3,9.566066787E-3,-4.000091553E-2,4.199815110E-2
1.257548542E0,-2.740652859E-2,-2.136249840E-2,-7.053184509E-2,7.862706480E-2
1.262278230E0,-3.431273997E-2,-1.164279878E-2,-6.994438171E-2,7.877268195E-2
1.267007969E0,-3.203392029E-3,-9.155791253E-3,-5.511474609E-2,5.596182155E-2
1.271737657E0,1.588016748E-3,9.872565046E-3,1.419544220E-2,1.736375296E-2
1.276467397E0,2.069842815E-2,9.719925001E-3,3.544044495E-2,4.217732813E-2
1.281197084E0,6.325960159E-3,9.597798809E-3,2.327442169E-2,2.595831695E-2
1.285926824E0,6.318062544E-3,-7.084615529E-3,-2.202987671E-2,2.398802116E-2
1.290656511E0,-1.740275323E-2,-9.354643524E-3,-9.307289124E-2,9.514687729E-2
1.295386251E0,-1.495257020E-2,-1.398066618E-2,-5.430793762E-2,5.803783655E-2
1.300115938E0,-2.207645774E-2,-9.070789441E-3,-5.385208130E-2,5.890412437E-2
1.304845678E0,-1.486775279E-2,-8.977076039E-3,-1.778793335E-2,2.486058205E-2
1.309575365E0,1.842510700E-2,-8.914146572E-3,3.696632385E-2,4.225465272E-2
1.314305105E0,1.597073674E-2,1.486126147E-2,3.428268433E-2,4.063525525E-2
1.319034792E0,1.609086990E-3,2.854797989E-3,1.975250244E-2,2.002249698E-2
1.323764532E0,1.113730669E-2,-9.024659172E-3,-4.214096069E-2,4.451229764E-2
1.328494272E0,-1.039186120E-2,-3.502076864E-2,-4.653644562E-2,5.916152285E-2
1.333223959E0,-1.749680936E-2,-2.287006564E-2,-3.902435303E-2,4.849823058E-2
1.337953699E0,-7.440745831E-4,-8.474949747E-3,6.409645081E-3,1.065185290E-2
1.342683386E0,3.998398781E-3,1.051926427E-2,5.384063721E-2,5.500414828E-2
1.347413126E0,3.006869555E-2,1.991555840E-2,7.001113892E-2,7.875478075E-2
1.352142813E0,2.748903632E-2,1.976390183E-2,5.992984772E-2,6.883200986E-2
1.356872553E0,-1.241892576E-3,1.483826339E-2,4.281234741E-2,4.532784408E-2
1.361602240E0,1.158803701E-3,-2.805888280E-2,-2.164649963E-2,3.545722319E-2
1.366331980E0,3.425687551E-3,-1.828338578E-2,-1.671504974E-2,2.500820703E-2
1.371061667E0,2.237841487E-2,-3.871828318E-3,-7.079124451E-3,2.378862143E-2
1.375791407E0,1.508593559E-2,3.184793517E-3,5.470752716E-2,5.683873583E-2
1.380521094E0,1.503354311E-2,1.490319148E-2,1.064805984E-1,1.085644066E-1
1.385250834E0,3.400331736E-2,1.473786682E-2,4.623794556E-2,5.925688077E-2
1.389980522E0,1.708894968E-2,3.124915808E-2,4.585266113E-2,5.806038766E-2
1.394710261E0,2.831935883E-3,1.673197560E-2,3.576278687E-4,1.697370808E-2
1.399439949E0,-1.382273436E-2,-1.188139059E-2,-1.389026642E-2,2.291669541E-2
1.404169688E0,-1.134553552E-2,1.194722019E-2,-6.651878357E-3,1.776808184E-2
1.408899376E0,6.646811962E-4,-7.215142250E-3,-4.222869873E-3,8.386459846E-3
1.413629115E0,-8.877962828E-3,7.020251825E-3,4.804420471E-2,4.935937364E-2
1.418358855E0,1.735654473E-2,2.588530816E-2,5.951499939E-2,6.718135140E-2
1.423088542E0,1.013448834E-2,1.138280891E-2,3.527641296E-2,3.842787405E-2
1.427818282E0,-6.523996592E-3,1.842547022E-2,-7.754325867E-3,2.102831553E-2
1.432547969E0,-1.676499844E-3,1.356872357E-2,-5.517387390E-2,5.684256567E-2
1.437277709E0,-2.072472870E-2,-2.216921747E-2,-5.708599091E-2,6.465136457E-2
1.442007397E0,-2.774347365E-2,-3.003938124E-3,-5.898189545E-2,6.525019513E-2
1.446737136E0,-3.839612007E-3,-7.769862190E-3,-1.509666443E-3,8.797299107E-3
1.451466824E0,2.944681048E-2,1.127618924E-2,3.411388397E-2,4.645453876E-2
1.456196563E0,1.500135660E-2,2.069541626E-2,-1.782417297E-3,2.562260653E-2
